task_id,uid,uid_num,runner,lane,status,reward,difficulty,domain_family,operation_family,phase1_feasibility,phase1_computation_type,goose_total_tokens,tool_request_total,mcp_tool_request_total,message_count,thinking_chars,text_chars,openrouter_rows_matched,openrouter_cost_total,openrouter_tokens_prompt,openrouter_tokens_completion,openrouter_tokens_reasoning,openrouter_tokens_cached,usd_per_1k_goose_tokens,exception_path,trial_dir
officeqa-uid0014,UID0014,14,officeqa-big-runner-02,,failed,0.0,easy,budget_and_receipts,statistical,,,,111,16,18340,202004,828,14,0.012109,96219,1874,1198,71744,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-095507-01ad00/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0014/officeqa-uid0014__sQTT9sw/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-095507-01ad00/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0014/officeqa-uid0014__sQTT9sw
officeqa-uid0015,UID0015,15,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,comparison,,,25141,27,9,5199,32578,1688,3,0.009656,76914,1956,1765,76416,0.000384,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-100323-76267e/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0015/officeqa-uid0015__yasLemb
officeqa-uid0016,UID0016,16,officeqa-big-runner-02,,failed,0.0,easy,budget_and_receipts,lookup_or_aggregation,,,32627,46,8,24466,153975,1479,6,0.013379,112404,2022,1239,106480,0.00041,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-095626-46cd3d/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0016/officeqa-uid0016__vLz84Nb
officeqa-uid0017,UID0017,17,officeqa-big-runner-01,,passed,1.0,hard,other,lookup_or_aggregation,,,12787,18,3,3825,28306,1976,55,0.113678,1002205,12306,7749,945200,0.00889,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-095647-ecec72/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0017/officeqa-uid0017__Xxymtf8
officeqa-uid0018,UID0018,18,officeqa-big-runner-01,,failed,0.0,hard,budget_and_receipts,statistical,,,55021,84,2,10589,64739,830,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100013-1d4f71/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0018/officeqa-uid0018__dS2dVXM
officeqa-uid0019,UID0019,19,officeqa-big-runner-01,,failed,0.0,hard,fx,comparison,,,16826,23,5,5050,33526,989,12,0.032747,264900,6161,5168,259760,0.001946,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-095920-e30ee8/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0019/officeqa-uid0019__hTx5LYM
officeqa-uid0020,UID0020,20,officeqa-big-runner-01,,failed,0.0,easy,other,lookup_or_aggregation,,,14927,21,7,6951,51515,1370,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100024-3e1a45/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0020/officeqa-uid0020__YrNuKmQ
officeqa-uid0021,UID0021,21,officeqa-big-runner-02,,failed,0.0,easy,budget_and_receipts,lookup_or_aggregation,,,,63,6,25308,186307,414,0,0,0,0,0,0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-101212-7171fd/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0021/officeqa-uid0021__uDqRasV/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-101212-7171fd/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0021/officeqa-uid0021__uDqRasV
officeqa-uid0022,UID0022,22,officeqa-big-runner-02,,failed,0.0,hard,budget_and_receipts,statistical,,,,23,2,3394,18162,930,0,0,0,0,0,0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-101145-f2a444/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0022/officeqa-uid0022__Hr32taG/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-101145-f2a444/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0022/officeqa-uid0022__Hr32taG
officeqa-uid0023,UID0023,23,officeqa-big-runner-02,,passed,1.0,easy,other,lookup_or_aggregation,,,25856,27,4,3425,23581,1728,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-101009-24a53a/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0023/officeqa-uid0023__wzKYjkw
officeqa-uid0024,UID0024,24,officeqa-big-runner-02,,passed,1.0,easy,debt_and_international,comparison,,,13199,14,4,2443,15635,920,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-100740-b5ce6b/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0024/officeqa-uid0024__wS4eHFG
officeqa-uid0025,UID0025,25,officeqa-big-runner-01,,failed,0.0,hard,other,comparison,,,17480,24,8,4669,35228,1666,53,0.120684,1036785,16137,13138,992000,0.006904,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100037-ffbb71/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0025/officeqa-uid0025__7hzyhvK
officeqa-uid0026,UID0026,26,officeqa-big-runner-01,,failed,0.0,easy,other,lookup_or_aggregation,,,68187,62,4,18546,160068,1256,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-101326-6b2ba1/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0026/officeqa-uid0026__VT8uqii
officeqa-uid0027,UID0027,27,officeqa-big-runner-01,,failed,0.0,hard,rates_and_securities,lookup_or_aggregation,,,,36,0,9870,72262,555,0,0,0,0,0,0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100353-815778/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0027/officeqa-uid0027__hezJjkj/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100353-815778/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0027/officeqa-uid0027__hezJjkj
officeqa-uid0028,UID0028,28,officeqa-big-runner-01,,failed,0.0,hard,rates_and_securities,lookup_or_aggregation,,,,18,0,6692,50804,0,0,0,0,0,0,0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100554-5a6ea0/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0028/officeqa-uid0028__dxTWbwz/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100554-5a6ea0/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0028/officeqa-uid0028__dxTWbwz
officeqa-uid0029,UID0029,29,officeqa-big-runner-02,,failed,0.0,hard,rates_and_securities,lookup_or_aggregation,,,62930,46,2,18059,130173,1492,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-102839-8e0403/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0029/officeqa-uid0029__spaSEcc
officeqa-uid0030,UID0030,30,officeqa-big-runner-02,,failed,0.0,hard,other,lookup_or_aggregation,,,16993,17,1,4837,33522,3742,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-102820-1956fc/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0030/officeqa-uid0030__KTprawq
officeqa-uid0031,UID0031,31,officeqa-big-runner-02,,passed,1.0,hard,budget_and_receipts,lookup_or_aggregation,,,42854,50,0,12603,89723,597,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-101948-e35d98/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0031/officeqa-uid0031__9BsiYDz
officeqa-uid0032,UID0032,32,officeqa-big-runner-02,,passed,1.0,hard,other,comparison,,,21258,24,8,8112,59422,1096,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-101452-c49dc3/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0032/officeqa-uid0032__4hHzoAz
officeqa-uid0033,UID0033,33,officeqa-big-runner-01,,passed,1.0,easy,other,lookup_or_aggregation,,,17428,19,6,291,15826,1120,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-100659-797380/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0033/officeqa-uid0033__L2bYfnK
officeqa-uid0034,UID0034,34,officeqa-big-runner-01,,failed,0.0,easy,other,lookup_or_aggregation,,,,87,0,22892,208623,1242,0,0,0,0,0,0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102611-e97b89/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0034/officeqa-uid0034__BDLSKYX/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102611-e97b89/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0034/officeqa-uid0034__BDLSKYX
officeqa-uid0035,UID0035,35,officeqa-big-runner-01,,failed,0.0,hard,other,lookup_or_aggregation,,,40242,40,1,12113,89835,1051,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102026-0f5434/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0035/officeqa-uid0035__NuEPH8t
officeqa-uid0036,UID0036,36,officeqa-big-runner-01,,failed,0.0,hard,debt_and_international,comparison,medium,percentage_point_difference,28573,42,5,9202,70260,1962,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102218-b303c2/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0036/officeqa-uid0036__Sr3xFq8
officeqa-uid0037,UID0037,37,officeqa-big-runner-02,,failed,0.0,hard,other,comparison,,,87545,119,8,24366,213923,3672,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-104141-3bc894/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0037/officeqa-uid0037__HNhccPU
officeqa-uid0038,UID0038,38,officeqa-big-runner-02,,failed,0.0,easy,debt_and_international,comparison,,,53928,84,4,14037,105840,1133,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-103239-a030cf/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0038/officeqa-uid0038__A6gkhez
officeqa-uid0039,UID0039,39,officeqa-big-runner-02,,passed,1.0,hard,budget_and_receipts,lookup_or_aggregation,medium,sum,14977,19,4,5796,38358,2844,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-102737-5aacea/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0039/officeqa-uid0039__tw3RJAt
officeqa-uid0040,UID0040,40,officeqa-big-runner-02,,passed,1.0,easy,other,lookup_or_aggregation,,,62743,67,6,7681,57971,1933,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-102257-18df3e/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0040/officeqa-uid0040__LJ4afDs
officeqa-uid0041,UID0041,41,officeqa-big-runner-01,,passed,1.0,easy,rates_and_securities,lookup_or_aggregation,,,24941,26,7,8586,54751,1654,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-101102-f4e6e0/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0041/officeqa-uid0041__xX2FeM3
officeqa-uid0042,UID0042,42,officeqa-big-runner-01,,passed,1.0,hard,budget_and_receipts,lookup_or_aggregation,,,18877,27,1,6060,44817,2574,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-104230-b3ef16/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0042/officeqa-uid0042__vqV9C8E
officeqa-uid0043,UID0043,43,officeqa-big-runner-01,,passed,1.0,easy,budget_and_receipts,lookup_or_aggregation,,,11969,15,6,2132,15920,518,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102838-a645a4/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0043/officeqa-uid0043__R9GvN9k
officeqa-uid0044,UID0044,44,officeqa-big-runner-01,,failed,0.0,hard,other,lookup_or_aggregation,,,58209,56,5,10296,74982,3493,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102757-bf4d92/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0044/officeqa-uid0044__3hAjyJB
officeqa-uid0045,UID0045,45,officeqa-big-runner-02,,failed,0.0,easy,debt_and_international,lookup_or_aggregation,,,36605,33,1,5298,36816,1136,10,0.014675,112239,3112,2244,106976,0.000401,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-105707-010e16/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0045/officeqa-uid0045__9NxcYrk
officeqa-uid0046,UID0046,46,officeqa-big-runner-02,,failed,0.0,easy,other,lookup_or_aggregation,,,20381,17,1,4142,33020,1302,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-104057-750536/pool-20260402T094504Z-officeqa-big-runner-02-lane2-officeqa-uid0046/officeqa-uid0046__DkfJT9W
officeqa-uid0047,UID0047,47,officeqa-big-runner-02,,passed,1.0,easy,fx,comparison,?,?,15166,9,1,1544,8853,1592,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-103207-fba1d7/pool-20260402T094504Z-officeqa-big-runner-02-lane3-officeqa-uid0047/officeqa-uid0047__fxgdbD6
officeqa-uid0048,UID0048,48,officeqa-big-runner-02,,passed,1.0,easy,other,comparison,,,11282,10,2,1151,8235,427,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-102929-0593ab/pool-20260402T094504Z-officeqa-big-runner-02-lane4-officeqa-uid0048/officeqa-uid0048__WHZcPaB
officeqa-uid0049,UID0049,49,officeqa-big-runner-01,,failed,0.0,hard,budget_and_receipts,statistical,,,41179,36,18,6017,38670,2324,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-102248-2dd9ac/pool-20260402T094504Z-officeqa-big-runner-01-lane1-officeqa-uid0049/officeqa-uid0049__SS3g8cd
officeqa-uid0050,UID0050,50,officeqa-big-runner-01,,passed,1.0,hard,debt_and_international,lookup_or_aggregation,,,15173,14,2,2942,19723,932,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-104822-ac5410/pool-20260402T094504Z-officeqa-big-runner-01-lane2-officeqa-uid0050/officeqa-uid0050__WYxQYAj
officeqa-uid0051,UID0051,51,officeqa-big-runner-01,,passed,1.0,easy,debt_and_international,lookup_or_aggregation,,,12961,18,9,3376,14109,1599,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-103221-099bd0/pool-20260402T094504Z-officeqa-big-runner-01-lane3-officeqa-uid0051/officeqa-uid0051__6udNTVd
officeqa-uid0052,UID0052,52,officeqa-big-runner-01,,passed,1.0,easy,rates_and_securities,statistical,,,29382,26,1,4455,32643,1099,0,0,0,0,0,0,0.0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-01/.arena/runs/run-20260402-103357-a69bcc/pool-20260402T094504Z-officeqa-big-runner-01-lane4-officeqa-uid0052/officeqa-uid0052__LTTZf6m
officeqa-uid0053,UID0053,53,officeqa-big-runner-02,,failed,0.0,hard,rates_and_securities,statistical,,,,81,6,11085,95424,515,0,0,0,0,0,0,,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110100-3a11e9/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0053/officeqa-uid0053__Hkh7iUH/exception.txt,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/full_traces/officeqa-big-runner-02/.arena/runs/run-20260402-110100-3a11e9/pool-20260402T094504Z-officeqa-big-runner-02-lane1-officeqa-uid0053/officeqa-uid0053__Hkh7iUH
